Date,3M TBill SA,US CPI SA,US DXY SA,US IP SA,US UE SA,US Debt SA
2007-09-30,-0.33,0.30000000000000004,-6.007000000000001,0.09999999999999998,0.2,-615.9081427997196
2007-12-31,-1.78,2.6,-2.342,-0.6000000000000001,0.4,806.527615822968
2008-03-31,-0.48000000000000004,-0.20000000000000018,-1.7209999999999999,-1.6,0.1,-779.3002725093955
2008-06-30,0.193333333,2.1,-0.637,-2.3,0.3,399.3015333512248
2008-09-30,0.16000000000000003,0.09999999999999987,12.145,-6.6,0.4,242.22256340936372
2008-12-31,0.06000000000000005,-10.4,8.029,-3.1999999999999997,0.8999999999999999,-276.0723621286437
2009-03-31,0.006666666000000043,-0.8999999999999999,2.5999999999999996,-3.3,1.2999999999999998,-426.8805107586045
2009-06-30,-0.6166666670000001,-1.7000000000000002,-4.050000000000001,-0.19999999999999996,0.30000000000000004,417.4103032259154
2009-09-30,0.163333333,-0.2999999999999998,-10.936,9.0,-0.2,232.60660267369104
2009-12-31,1.716666666,9.0,-4.8580000000000005,3.7,-1.0999999999999999,-618.5805526028513
2010-03-31,0.683333334,-1.1,6.656,6.0,-1.4,903.2131359728187
2010-06-30,0.23,-2.5,12.276,3.6,-1.3,-636.7575461823103
2010-09-30,0.019999999999999997,0.0,-4.923,-1.7000000000000002,-0.19999999999999998,-6.400881441635477
2010-12-31,0.02,0.7000000000000002,-3.105,-0.10000000000000009,-0.30000000000000004,11.922571936919155
2011-03-31,-0.28,2.6,-10.015,-1.5,-0.3,378.0737401224651
2011-06-30,0.153333334,2.0,-8.274999999999999,-1.7,0.6,-501.6738937536265
2011-09-30,0.193333334,0.7,11.405,0.0,-0.2,200.46507180166205
2011-12-31,-0.096666666,-1.6,9.805,0.5,-0.3,141.57118211785053
2012-03-31,0.03333333300000001,-1.0,3.8729999999999998,0.0,0.0,-349.3472029738558
2012-06-30,-0.1,-2.1,5.914,0.8,-0.1,598.0450239033063
2012-09-30,-0.16999999999999998,0.7,-5.416,-1.3,-0.30000000000000004,-457.82611871029115
2012-12-31,0.08,-0.39999999999999997,-7.723,-0.19999999999999996,0.6,-105.11270366265856
2013-03-31,0.006666666999999998,-0.5,2.414,0.5,-0.10000000000000003,426.63753234464434
2013-06-30,-0.04,0.5,-1.1329999999999998,-0.7,0.0,-358.1604111679359
2013-09-30,0.036666666,-1.4,-1.0670000000000002,1.1,0.10000000000000003,-40.87234042867969
2013-12-31,0.009999999999999998,1.0,0.45199999999999996,-0.7,-0.6,468.2623593358737
2014-03-31,0.013333333000000001,0.19999999999999996,-2.8850000000000002,0.4999999999999999,0.4,-352.0356724289935
