Period,IRF,Lower Conf,Upper Conf,Shock Variable,Response Variable
15,-0.23356635169668127,-15.483668297721962,15.016535594328602,US CPI SA,USDebt SA
16,-5.303174174560558,-20.22861180423127,9.622263455110156,US CPI SA,USDebt SA
17,4.24891792365858,-9.683011541273576,18.180847388590735,US CPI SA,USDebt SA
18,-0.525811947197733,-13.130757082551867,12.079133188156401,US CPI SA,USDebt SA
19,-0.9459406228818406,-12.803561854607226,10.911680608843545,US CPI SA,USDebt SA
20,1.9492845051884002,-9.496694642134457,13.395263652511257,US CPI SA,USDebt SA
0,0.0,0.0,0.0,US CPI SA,USDXY SA
1,-0.2333221229216406,-1.0282512513296225,0.5616070054863413,US CPI SA,USDXY SA
2,1.202976524622129,0.35677942780414795,2.0491736214401097,US CPI SA,USDXY SA
3,0.5907520446495075,-0.3036181053956579,1.4851221946946729,US CPI SA,USDXY SA
4,0.36592880867465905,-0.5135400681541368,1.245397685503455,US CPI SA,USDXY SA
5,-0.1451659419997018,-1.090390066952893,0.8000581829534894,US CPI SA,USDXY SA
6,-0.44079105651131545,-1.353603863495016,0.47202175047238515,US CPI SA,USDXY SA
7,-0.2640688873973455,-1.1734243615656168,0.6452865867709257,US CPI SA,USDXY SA
8,-0.03137602959610175,-0.8911571364664876,0.8284050772742841,US CPI SA,USDXY SA
9,0.0032605501439317286,-0.8515540368464765,0.8580751371343398,US CPI SA,USDXY SA
10,0.4618848109747377,-0.3465809433791485,1.270350565328624,US CPI SA,USDXY SA
11,-0.21170118752369896,-1.0414983313347792,0.6180959562873813,US CPI SA,USDXY SA
12,0.14132319668172397,-0.6285687439004506,0.9112151372638986,US CPI SA,USDXY SA
13,0.11529004755446445,-0.5976378152268774,0.8282179103358064,US CPI SA,USDXY SA
14,-0.353022926638369,-1.0547415606869768,0.3486957074102388,US CPI SA,USDXY SA
15,0.2727034678884874,-0.3903943884232024,0.9358013242001773,US CPI SA,USDXY SA
