Variable,Lag Length,Lag,ACF Value,ACF Conf Int Low,ACF Conf Int High,PACF Value,PACF Conf Int Low,PACF Conf Int High
USDebt SA,5,3,-0.034749071,-0.186034967,0.186034967,-0.03443036,-0.186034967,0.186034967
USDebt SA,5,4,-0.074794344,-0.186034967,0.186034967,-0.081622472,-0.186034967,0.186034967
USDebt SA,5,5,-0.079896604,-0.186034967,0.186034967,-0.091945949,-0.186034967,0.186034967
USDebt SA,5,6,-0.035804084,-0.186034967,0.186034967,-0.047967771,-0.186034967,0.186034967
USDebt SA,5,7,0.153986117,-0.186034967,0.186034967,0.158395779,-0.186034967,0.186034967
USDebt SA,5,8,-0.233174206,-0.186034967,0.186034967,-0.255963383,-0.186034967,0.186034967
USDebt SA,5,9,0.032722661,-0.186034967,0.186034967,-0.005270338,-0.186034967,0.186034967
USDebt SA,5,10,0.053890137,-0.186034967,0.186034967,0.072106268,-0.186034967,0.186034967
USDebt SA,5,11,0.195502505,-0.186034967,0.186034967,0.246047366,-0.186034967,0.186034967
USDebt SA,5,12,-0.151926407,-0.186034967,0.186034967,-0.21261629,-0.186034967,0.186034967
USDebt SA,5,13,-0.024941196,-0.186034967,0.186034967,-0.088485101,-0.186034967,0.186034967
USDebt SA,5,14,-0.06410371,-0.186034967,0.186034967,-0.090323132,-0.186034967,0.186034967
USDebt SA,5,15,-0.166622781,-0.186034967,0.186034967,-0.055630705,-0.186034967,0.186034967
USDebt SA,5,16,0.047448279,-0.186034967,0.186034967,-0.025184909,-0.186034967,0.186034967
USDebt SA,5,17,-0.024285746,-0.186034967,0.186034967,-0.087357753,-0.186034967,0.186034967
USDebt SA,5,18,-0.092105036,-0.186034967,0.186034967,-0.244858774,-0.186034967,0.186034967
USDebt SA,5,19,-0.105261473,-0.186034967,0.186034967,-0.016644867,-0.186034967,0.186034967
USDebt SA,5,20,-0.029804026,-0.186034967,0.186034967,-0.177690321,-0.186034967,0.186034967
USDXY SA,5,0,1,-0.186034967,0.186034967,1,-0.186034967,0.186034967
USDXY SA,5,1,-0.006891156,-0.186034967,0.186034967,-0.006953802,-0.186034967,0.186034967
USDXY SA,5,2,0.085662594,-0.186034967,0.186034967,0.087190246,-0.186034967,0.186034967
USDXY SA,5,3,-0.000545899,-0.186034967,0.186034967,0.000603579,-0.186034967,0.186034967
USDXY SA,5,4,-0.153623009,-0.186034967,0.186034967,-0.168258903,-0.186034967,0.186034967
USDXY SA,5,5,-0.070342133,-0.186034967,0.186034967,-0.078543051,-0.186034967,0.186034967
USDXY SA,5,6,-0.06294836,-0.186034967,0.186034967,-0.039210553,-0.186034967,0.186034967
USDXY SA,5,7,0.025888891,-0.186034967,0.186034967,0.042788159,-0.186034967,0.186034967
